"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"num.50","Wetlands and coastal zone management (n = 137)",77,60,1.28333333333333,2.22551714055629,-1.9584676500927,0.0177142449293565,59.7912349481938,77.2087650518062,1.28781417655475,0.77711384141089
"num.47","Waste privatisation conflicts / waste-picker access to waste (n = 61)",34,27,1.25925925925926,1.42985895409769,-1.25828395331781,0.156689711576716,26.6223746849622,34.3776253150378,1.2771212336368,0.785394562671826
"num.25","Metal refineries (n = 62)",34,28,1.21428571428571,1.33438082830773,-1.17426266350452,0.19819928900844,27.0588070568468,34.9411929431532,1.25652250406201,0.801346423562412
"num.18","Interbasin water transfers/transboundary water conflicts (n = 59)",32,27,1.18518518518519,1.23176989277817,-1.08396446084491,0.248269292640228,25.7495099411929,33.2504900588071,1.24274209773631,0.812018107169176
"num.24","Mega-project solar plants (n = 26)",14,12,1.16666666666667,0.787503576633272,-0.693007594083525,0.540854801593662,11.3472416690003,14.6527583309997,1.23378001530071,0.818958432871476
"num.42","Thermal power plants (n = 175)",94,81,1.16049382716049,2.01667184309127,-1.77468260907657,0.0414633980684285,76.3756650798096,98.6243349201904,1.23075851322242,0.821298314108252
"num.16","Incinerators (n = 86)",46,40,1.15,1.38201392487296,-1.21618005744265,0.19048774130961,37.5331839820779,48.4668160179221,1.22558214144489,0.825306947854976
"num.33","Other (n = 112)",59,53,1.11320754716981,1.44742062224999,-1.27373832045395,0.175550803114732,48.8804256510781,63.1195743489219,1.20702713231587,0.839676131322094
"num.34","Other industries (n = 81)",41,40,1.025,0.950099055368253,-0.836092533467186,0.460914796868119,35.3510221226547,45.6489778773453,1.15979673395993,0.876251821179357
"num.10","Desalination (n = 10)",5,5,1,0.304282887457626,-0.267770659098855,0.999999999999999,4.36432371884626,5.63567628115374,1.14565287135066,0.887204968944099
"num.2","Aquaculture and fisheries (n = 78)",37,41,0.902439024390244,0.507028956642445,-0.446188344789055,0.882516905056946,34.0417250070008,43.9582749929992,1.08690144205062,0.932702659659181
"num.37","Ports and airport projects (n = 148)",70,78,0.897435897435897,0.672896185907425,-0.592152443113086,0.804752160705454,64.5919910389247,83.4080089610753,1.08372568911549,0.935161994292429
"num.19","Invasive species (n = 9)",4,5,0.8,0.0363837660315765,-0.0320179195490595,1,3.92789134696164,5.07210865303836,1.01835810786725,0.985783298826777
"num.8","Dams and water distribution conflicts (n = 364)",160,204,0.784313725490196,0.0903375595633322,-0.0794975625075999,0.443447473846773,158.861383366004,205.138616633996,1.00716735942915,0.99444952562965
"num.44","Transport infrastructure networks (roads, railways, hydroways, canals and pipelines) (n = 276)",119,157,0.75796178343949,-0.132601930667313,0.116690447725267,0.349777814699761,120.455334640157,155.544665359843,0.987918055729915,1.00935637771177
"num.40","Ship-breaking yards (n = 7)",3,4,0.75,-0.0314822096213988,0.0277045222314194,1,3.05502660319238,3.94497339680762,0.981988175443421,1.01394853593611
"num.39","Shale gas fracking (n = 59)",25,34,0.735294117647059,-0.147704223383024,0.129980550590327,0.66848506232678,25.7495099411929,33.2504900588071,0.97089226385649,1.02254132013896
"num.35","Plantation conflicts (incl. Pulp (n = 171)",72,99,0.727272727272727,-0.30443079319903,0.267900816986443,0.334384797592343,74.6299355922711,96.3700644077289,0.964760312716343,1.02728996404054
"num.20","Land acquisition conflicts (n = 790)",331,459,0.721132897603486,-0.74220998196883,0.653148975028114,0.00857907972731964,344.781573788855,445.218426211145,0.96002810232169,1.03095463479833
"num.12","Establishment of reserves/national parks (n = 129)",54,75,0.72,-0.306501213992809,0.269722798975619,0.385830327297029,56.2997759731168,72.7002240268832,0.959151241130783,1.03163368481872
"num.51","Windmills (n = 50)",20,30,0.666666666666667,-0.38995453047994,0.343162188704219,0.476915706434204,21.8216185942313,28.1783814057687,0.916522297080526,1.06464596273292
"num.9","Deforestation (n = 385)",153,232,0.65948275862069,-1.15922550666752,1.02012499144499,0.0101562234433713,168.026463175581,216.973536824419,0.91057085359299,1.06925481971445
"num.48","Water access rights and entitlements (n = 413)",157,256,0.61328125,-1.73151146155188,1.52373986316117,0.000587568240393326,180.246569588351,232.753430411649,0.871029059574108,1.0998763779646
"num.17","Intensive food production (monoculture and livestock) (n = 150)",56,94,0.595744680851064,-1.16979535679085,1.02942651923627,0.0363289234169895,65.4648557826939,84.5351442173061,0.855420810608491,1.1119635610766
"num.22","Logging and non timber extraction (n = 78)",29,49,0.591836734693878,-0.864118642123304,0.760429284322431,0.143364768226603,34.0417250070008,43.9582749929992,0.851895724850489,1.11469342251951
"num.1","Agro-toxics (n = 76)",28,48,0.583333333333333,-0.897489790906837,0.789796083682441,0.133411345597896,33.1688602632316,42.8311397367684,0.8441652736268,1.12067996077149
